Achillea	millefolium
Achnatherum	hymenoides
Ageratina	altissima
Agrostis	exarata
Agrostis	perennans
Amelanchier	alnifolia
Amorpha	canescens
Andropogon	gerardii
Aquilegia	formosa
Aristida	stricta
Artemisia	arbuscula
Artemisia	ludoviciana
Artemisia	tridentata
Asclepias	incarnata
Asclepias	speciosa
Asclepias	syriaca
Asclepias	tuberosa
Astragalus	canadensis
Atriplex	canescens
Atriplex	confertifolia
Balsamorhiza	sagittata
Beckmannia	syzigachne
Bouteloua	curtipendula
Bouteloua	gracilis
Bromus	carinatus
Carex	lurida
Carex	squarrosa
Carex	vulpinoidea
Ceanothus	americanus
Cercocarpus	ledifolius
Coleogyne	ramosissima
Coreopsis	major
Crataegus	douglasii
Deschampsia	caespitosa
Doellingeria	umbellata
Elymus	elymoides
Elymus	glaucus
Elymus	lanceolatus
Elymus	riparius
Elymus	trachycaulus
Elymus	virginicus
Eragrostis	spectabilis
Eriophyllum	lanatum
Eschscholzia	californica
Festuca	idahoensis
Festuca	occidentalis
Heliopsis	helianthoides
Hibiscus	moscheutos
Hordeum	brachyantherum
Juncus	effusus
Koeleria	macrantha
Krascheninnikovia	lanata
Lespedeza	capitata
Lespedeza	hirta
Leymus	cinereus
Leymus	triticoides
Liatris	aspera
Linum	lewisii
Lobelia	cardinalis
Lobelia	siphilitica
Lomatium	dissectum
Lomatium	nudicaule
Lomatium	triternatum
Ludwigia	alternifolia
Lupinus	sericeus
Mimulus	ringens
Monarda	fistulosa
Muhlenbergia	capillaris
Panicum	clandestinum
Panicum	virgatum
Pascopyrum	smithii
Penstemon	angustifolius
Penstemon	digitalis
Penstemon	eatonii
Penstemon	palmeri
Penstemon	rydbergii
Penstemon	speciosus
Penstemon	strictus
Pleuraphis	jamesii
Poa	fendleriana
Poa	secunda
Prunus	virginiana	
Pseudoroegneria	spicata
Purshia	stansburiana
Purshia	tridentata
Pycnanthemum	virginianum
Ratibida	pinnata
Ribes	cereum
Rudbeckia	hirta
Rudbeckia	triloba
Schizachyrium	scoparium
Scirpus	atrovirens
Scirpus	cyperinus
Solidago	juncea
Solidago	nemoralis
Solidago	odora
Solidago	rigida
Sorghastrum	nutans
Sorghastrum	secundum
Sphaeralcea	ambigua
Sphaeralcea	munroana
Sporobolus	cryptandrus
Sporobolus	junceus
Symphoricarpos	albus
Symphyotrichum	laeve
Symphyotrichum	lateriflorum
Symphyotrichum	novae-angliae
Tephrosia	virginiana
Tripsacum	dactyloides
Verbena	hastata
Verbesina	alternifolia
Vernonia	angustifolia
Veronicastrum	virginicum
Xerophyllum	tenax
Zizia	aurea